ALG	Fn	C
lec2	GO.0031668	18
lec2	GO.0007268	23
lec2	GO.0035235	23
lec2	GO.0050804	23
lec2	GO.0060078	23
lec2	GO.0099536	23
lec2	GO.0099537	23
lec2	GO.0099565	23
lec2	GO.0006364	24
lec2	GO.0006614	24
lec2	GO.0019083	24
lec2	GO.0099601	24
lec2	GO.0016571	26
lec2	GO.0018205	26
lec2	GO.0034968	26
lec2	GO.0043414	26
lec2	GO.0051568	26
lec2	GO.0009755	28
lec2	GO.0016458	28
lec2	GO.0018205	28
lec2	GO.0032481	28
lec2	GO.0042552	28
lec2	GO.0002218	29
lec2	GO.0032481	29
lec2	GO.0006364	30
lec2	GO.0050853	30
lec2	GO.0016458	31
lec2	GO.0016571	31
lec2	GO.0031929	31
lec2	GO.0034968	31
lec2	GO.0016458	32
lec2	GO.0018205	32
lec2	GO.0019083	32
lec2	GO.0043491	33
lec2	GO.0006364	36
lec2	GO.0019083	36
lec2	GO.0009755	40
lec2	GO.0032479	41
lec2	GO.0032481	41
lec2	GO.0032606	41
lec2	GO.0032869	41
lec2	GO.0034341	41
lec2	GO.0035235	41
lec2	GO.0048660	41
lec2	GO.0060333	41
lec2	GO.0071346	41
lec2	GO.0018205	42
lec2	GO.0031098	42
lec2	GO.0032608	42
lec2	GO.0032609	42
lec2	GO.0032648	42
lec2	GO.0043406	42
lec2	GO.0051403	42
lec2	GO.0016458	43
lec2	GO.0016571	43
lec2	GO.0018205	43
lec2	GO.0034968	43
lec2	GO.0043414	43
lec2	GO.0051568	43
lec2	GO.0006364	44
lec2	GO.0006614	44
lec2	GO.0016458	44
lec2	GO.0000165	46
lec2	GO.0002757	46
lec2	GO.0007268	46
lec2	GO.0031346	46
lec2	GO.0032535	46
lec2	GO.0034330	46
lec2	GO.0099536	46
lec2	GO.0099537	46
lec2	GO.0000165	47
lec2	GO.0002757	47
lec2	GO.0006979	47
lec2	GO.0043406	47
lec2	GO.0000165	48
lec2	GO.0002224	48
lec2	GO.0008361	48
lec2	GO.0009165	48
lec2	GO.0030258	48
lec2	GO.0031098	48
lec2	GO.0031346	48
lec2	GO.0031929	48
lec2	GO.0032869	48
lec2	GO.0043406	48
lec2	GO.0043491	48
lec2	GO.0046058	48
lec2	GO.0048661	48
lec2	GO.0050770	48
lec2	GO.0051403	48
lec2	GO.0055074	48
lec2	GO.0060074	48
lec2	GO.0099565	48
lec2	GO.0000165	49
lec2	GO.0002218	49
lec2	GO.0002757	49
lec2	GO.0002758	49
lec2	GO.0009165	49
lec2	GO.0031098	49
lec2	GO.0050852	49
lec2	GO.0051403	49
lec2	GO.0061025	49
lec2	GO.0006364	50
lec2	GO.0006614	50
lec2	GO.0019083	50
lec2	GO.0009165	51
lec2	GO.0000165	55
lec2	GO.0002218	55
lec2	GO.0002224	55
lec2	GO.0002756	55
lec2	GO.0002757	55
lec2	GO.0002758	55
lec2	GO.0008088	55
lec2	GO.0031098	55
lec2	GO.0032479	55
lec2	GO.0032480	55
lec2	GO.0032606	55
lec2	GO.0043406	55
lec2	GO.0050770	55
lec2	GO.0050771	55
lec2	GO.0050852	55
lec2	GO.0051403	55
lec2	GO.0060333	55
lec2	GO.0061387	55
lec2	GO.0071346	55
lec2	GO.0098930	55
lec2	GO.0000165	56
lec2	GO.0031098	56
lec2	GO.0043406	56
lec2	GO.0048168	56
lec2	GO.0048660	56
lec2	GO.0048661	56
lec2	GO.0050804	56
lec2	GO.0051403	56
