ENTREZ.ID	GENE.NAME	DEGREE	SR_UP	SR_DOWN
6198	RPS6KB1	31	0.667525827905773	0.667879278210894
3667	IRS1	28	0.667498722646785	0.667897666717517
3798	KIF5A	15	0.667599270720085	0.667966475627083
3799	KIF5B	20	0.667394668890966	0.667968269031541
3800	KIF5C	8	0.667695735486449	0.667999815981017
3064	HTT	91	0.667504233867255	0.667549387711378
5898	RALA	13	0.667545283655123	0.667990548119198
5333	PLCD1	7	0.667793512864146	0.667994010777135
3146	HMGB1	29	0.667225555935508	0.667937070215968
1956	EGFR	187	0.671281197477373	0.666475724315177
3320	HSP90AA1	48	0.667403611560273	0.667794045541609
1615	DARS1	7	0.667656309168797	0.668014467045087
2058	EPRS1	7	0.667540309524412	0.668030584954406
5310	PKD1	11	0.667464043217499	0.668012514555823
1674	DES	25	0.667387947638458	0.667931459845999
5573	PRKAR1A	29	0.667362656358846	0.667917868766145
7249	TSC2	13	0.667522864560931	0.667991929293434
4291	MLF1	43	0.667106008996151	0.66786541055361
27101	CACYBP	30	0.667155210594243	0.667939207991706
29959	NRBP1	10	0.667548454559361	0.6680099196301
322	APBB1	15	0.667507212516792	0.667981308505342
10971	YWHAQ	31	0.667485181455384	0.667881052799877
53616	ADAM22	9	0.667520053172217	0.6680225390702
6427	SRSF2	21	0.667786888061143	0.667902683768671
2561	GABRB2	6	0.667554254011343	0.668033748419916
5048	PAFAH1B1	14	0.667572719200803	0.667976927091546
7529	YWHAB	39	0.667420021310939	0.667841640473794
7532	YWHAG	34	0.667321556035179	0.667887874373107
7533	YWHAH	30	0.667487812689083	0.66788891792308
7164	TPD52L1	10	0.667420705150552	0.668025311742974
57403	RAB22A	5	0.66755528820237	0.668042120357757
64283	ARHGEF28	2	0.667814075364852	0.668024857380946
6810	STX4	37	0.667183309846777	0.667888517426306
8773	SNAP23	23	0.667521099100012	0.667932705369202
1432	MAPK14	60	0.667333107615198	0.667746746943013
10043	TOM1	13	0.667435631659984	0.668004291347541
672	BRCA1	157	0.66887578384222	0.667016507702873
3984	LIMK1	13	0.667547921980261	0.667986806134575
1072	CFL1	19	0.667403626933683	0.667971208684146
5894	RAF1	72	0.668011398014368	0.667567492384872
1147	CHUK	36	0.667256728658433	0.667886108964014
1613	DAPK3	18	0.667522911559984	0.667961477867528
2891	GRIA2	10	0.667451153341574	0.668022873055111
2892	GRIA3	5	0.667644829962979	0.668027791458451
