entA	entB	We
3028	847	1
3028	8050	1
3028	3032	1
3028	3155	1
3028	5162	1
3028	498	1
3028	5836	1
3028	5163	1
3028	3030	1
3028	1431	1
3028	4967	1
3028	2110	1
3028	2746	1
3028	56993	1
3028	9804	1
3028	94081	1
1742	2066	1
1742	1741	1
1742	9228	1
1742	3736	1
1742	26037	1
1742	4035	1
1742	58512	1
1742	22839	1
1742	9146	1
1742	4130	1
1742	50807	1
1742	9693	1
1742	3761	1
1742	2903	1
1742	2904	1
1742	22871	1
1742	2905	1
1742	2906	1
1742	324	1
1742	22938	1
1742	9815	1
1742	5575	1
1742	3190	1
1742	6311	1
1742	170961	1
1742	23136	1
1742	6092	1
1742	5528	1
1742	5725	1
1742	50944	1
1742	23095	1
1742	9699	1
1742	2895	1
1742	3066	1
1742	2902	1
1742	23043	1
1742	6714	1
1742	1965	1
1742	4155	1
1742	5594	1
1742	27	1
1742	6654	1
1742	6812	1
1742	7159	1
1742	1540	1
1742	57555	1
1742	10452	1
1742	27445	1
1742	116984	1
1742	129807	1
1742	1002	1
1742	29	1
1742	1786	1
1742	221692	1
1742	1982	1
1742	3329	1
1742	54413	1
1742	5909	1
1742	1501	1
1742	91010	1
1742	9229	1
1742	4129	1
1742	3737	1
1742	8573	1
1742	26086	1
1742	547	1
1742	81832	1
1742	2977	1
1742	6326	1
1742	5141	1
1742	81624	1
1742	8502	1
1742	9610	1
1742	6792	1
1742	23024	1
1742	80128	1
1742	54862	1
1742	6599	1
1742	51663	1
1742	54915	1
1742	8787	1
1742	8525	1
1742	4897	1
1742	3738	1
1742	9568	1
1742	9620	1
1742	81618	1
1742	84628	1
1742	9901	1
1742	7343	1
1742	55966	1
1742	5067	1
1742	8120	1
1742	85369	1
1742	5128	1
1742	80059	1
1742	9758	1
1742	8831	1
1742	85461	1
1742	3751	1
2066	1740	1
2066	1741	1
2066	2280	1
2066	1956	1
2066	1739	1
2066	4915	1
2066	11059	1
2066	11122	1
2066	5803	1
2066	226	1
2066	2534	1
2066	5781	1
2066	2597	1
2066	11345	1
2066	4734	1
2066	57142	1
2066	57554	1
2066	27	1
2066	3326	1
2066	11221	1
2066	7295	1
2066	9647	1
2066	56899	1
2066	23294	1
2066	25824	1
2066	219738	1
2066	3336	1
2066	23336	1
2066	8898	1
2066	9892	1
1740	9228	1
1740	58512	1
1740	2903	1
1740	2904	1
1740	22871	1
1740	23095	1
1740	2895	1
1740	2894	1
1740	57555	1
1740	54413	1
1740	9229	1
1740	81832	1
1740	6202	1
1740	8525	1
1741	9228	1
1741	3736	1
1741	58512	1
1741	22839	1
1741	10458	1
1741	2903	1
